port_name,port_id,port_lat,port_lon,port_iso3,continent,betweenness_centrality,k_core,hub_score,authority_score,pagerank_score,import_cluster,export_cluster,import_cluster_rolebased,export_cluster_rolebased
Southampton_United Kingdom,port1216,50.90206160790425,-1.429531609481483,GBR,EURO,0.0017347396639951769,119,0.0013526611442425131,0.0010616604089163024,0.001042526174073964,4,3,5,4
Soyo Angola LNG Terminal_Angola,port1217,-6.122821698043862,12.337237439655008,AGO,AFRI,0.00012716330063003968,81,0.0005517048464755845,0.0005285321249711097,0.00047003469486480776,0,1,4,1
Split_Croatia,port1218,43.53156753621384,16.45697144270646,HRV,EURO,0.00028623719504896743,108,0.0006407956342403504,0.0006842234925464444,0.0007605858022931404,0,1,4,1
St John's_Canada,port1220,47.56031799474378,-52.70436538209804,CAN,NOAM,6.054971915549897e-05,39,0.00016082575577535952,0.00016438621802476494,0.000309135799861424,1,4,2,2
St John_Canada,port1219,45.27239980359264,-66.03688906547066,CAN,NOAM,0.0004480130956501639,97,0.0005775188042048984,0.0004454510794592387,0.0007666705078946626,1,4,2,2
St Johns_Antigua and Barbuda,port1221,17.123926579650345,-61.85103051953422,ATG,NOAM,0.00039894418623849845,63,0.0002722444150560598,0.00023349435937746092,0.0005740635417777481,1,4,2,2
St Nazaire_France,port1222,47.28306049371684,-2.203072871756097,FRA,EURO,5.342751956957436e-05,99,0.0005080489749216933,0.0004984429828735231,0.0004941726905692893,4,3,5,4
St. George's_Grenada,port1223,12.04075573614973,-61.74796090498984,GRD,NOAM,9.841991226250944e-05,39,0.0001362977904353475,5.460948758233418e-05,0.00033073179024047187,1,4,2,2
Stagen_Indonesia,port1224,-3.2797582939413035,116.12244264563893,IDN,ASIA,8.262090477616526e-05,78,0.0004417806374138383,0.0004638449807335474,0.000523138237044011,3,0,1,0
Stavanger_Norway,port1225,58.94526233449167,5.726419354778935,NOR,EURO,0.0002134589926297192,105,0.0006899380924158966,0.0007020720503697157,0.000857757937575928,4,3,5,4
Steinkjer_Norway,port1226,64.00404594734353,11.336094497211011,NOR,EURO,3.5069016426731455e-05,83,0.0002506722324692884,0.00036093769748548514,0.0005359814228897708,4,3,5,4
Stenungsund_Sweden,port1227,58.085219239322285,11.820421992052111,SWE,EURO,5.395403311825076e-05,102,0.000545839044075674,0.0005878246505458159,0.0005346595470978771,4,3,5,4
Stockholm_Sweden,port1228,59.329205191082885,18.10598896251861,SWE,EURO,0.00013099129363291538,104,0.00047189406046876703,0.0005244154134053731,0.0005971735845034716,4,3,5,4
