port_name,country,continent,area,silo_name,silo_id,silo_lon,silo_lat
Yokohama Ko,Japan,Asia,75126.87886407488,Yokohama Ko_Silo_6,silo_676,139.67102979480967,35.480549093552156
Kawasaki Ko,Japan,Asia,48644.13282202566,Kawasaki Ko_Silo_1,silo_677,139.73012657611736,35.504857021489435
Kawasaki Ko,Japan,Asia,90390.75324603403,Kawasaki Ko_Silo_2,silo_678,139.7301639119002,35.50084865241811
Kawasaki Ko,Japan,Asia,127644.71680927103,Kawasaki Ko_Silo_3,silo_679,139.7137443920001,35.49248034919544
Kawasaki Ko,Japan,Asia,12775.82597057198,Kawasaki Ko_Silo_4,silo_680,139.72999468491645,35.51280612356094
Kawasaki Ko,Japan,Asia,35484.78317135337,Kawasaki Ko_Silo_5,silo_681,139.75825763180416,35.53108588579383
Tokyo Ko,Japan,Asia,22963.912329717274,Tokyo Ko_Silo_1,silo_682,139.7655022478468,35.57467831534951
Tokyo Ko,Japan,Asia,38592.46626902341,Tokyo Ko_Silo_2,silo_683,139.76782347220495,35.57764117235574
Tokyo Ko,Japan,Asia,165949.08185432118,Tokyo Ko_Silo_3,silo_684,139.77443224431417,35.58981384214474
Tokyo Ko,Japan,Asia,40851.288011763216,Tokyo Ko_Silo_4,silo_685,139.75646372574136,35.63297360045135
Tokyo Ko,Japan,Asia,26462.39613431148,Tokyo Ko_Silo_5,silo_686,139.80580669276517,35.63722171785648
Tokyo Ko,Japan,Asia,40939.578356245824,Tokyo Ko_Silo_6,silo_687,139.83479672408424,35.6310459942375
Tokyo Ko,Japan,Asia,65181.07621702301,Tokyo Ko_Silo_7,silo_688,139.82810313527122,35.62110958344332
Funabashi,Japan,Asia,43847.63169486047,Funabashi_Silo_1,silo_689,139.9564165519843,35.68918224928458
Funabashi,Japan,Asia,27813.97272088693,Funabashi_Silo_2,silo_690,140.00295440327943,35.664673916769
Chiba Ko,Japan,Asia,69236.28016855328,Chiba Ko_Silo_1,silo_691,140.07822666081964,35.612058585438966
Chiba Ko,Japan,Asia,217117.75580552375,Chiba Ko_Silo_2,silo_692,140.08027736050724,35.60557489216696
Chiba Ko,Japan,Asia,32305.18416379564,Chiba Ko_Silo_3,silo_693,140.0887145580343,35.60896533811813
Chiba Ko,Japan,Asia,55808.41858329044,Chiba Ko_Silo_4,silo_694,140.09133271911367,35.606317581789035
Chiba Ko,Japan,Asia,66080.73297619158,Chiba Ko_Silo_5,silo_695,140.0947292892588,35.60484645961789
Chiba Ko,Japan,Asia,989415.8418617479,Chiba Ko_Silo_6,silo_696,140.1150689136824,35.584468353485974
Chiba Ko,Japan,Asia,326534.8972239952,Chiba Ko_Silo_7,silo_697,139.9838984865668,35.46776149484478
Chiba Ko,Japan,Asia,197161.86163335262,Chiba Ko_Silo_8,silo_698,139.95990329747207,35.45718305309298
Kashima Ko,Japan,Asia,31832.53259507143,Kashima Ko_Silo_1,silo_699,140.68003156095992,35.90085438340744
Kashima Ko,Japan,Asia,119240.81527118717,Kashima Ko_Silo_2,silo_700,140.66667454995354,35.91907342949338
Kashima Ko,Japan,Asia,87422.59767890355,Kashima Ko_Silo_3,silo_701,140.66953563874088,35.9164246236148
Onahama Ko,Japan,Asia,76461.60941701946,Onahama Ko_Silo_1,silo_702,140.8936899110926,36.942835669043745
Ishinomaki Ko,Japan,Asia,113538.06769632571,Ishinomaki Ko_Silo_1,silo_703,141.2760940719609,38.41969881705975
Ishinomaki Ko,Japan,Asia,83845.4064958569,Ishinomaki Ko_Silo_2,silo_704,141.27895051189597,38.419890603715814
Sendai-Shiogama,Japan,Asia,119015.04060895696,Sendai-Shiogama_Silo_1,silo_705,141.04178001108795,38.31645021923083
Sendai-Shiogama,Japan,Asia,11699.191022031282,Sendai-Shiogama_Silo_2,silo_706,141.03885671052257,38.31639390550046
Sendai-Shiogama,Japan,Asia,24778.186158410073,Sendai-Shiogama_Silo_3,silo_707,141.02058272606186,38.27254683068433
Sendai-Shiogama,Japan,Asia,81652.66923610064,Sendai-Shiogama_Silo_4,silo_708,141.01399114176635,38.273373370392925
Hachinohe Ko,Japan,Asia,58932.46352386501,Hachinohe Ko_Silo_1,silo_709,141.55025116261186,40.53157758446407
Hachinohe Ko,Japan,Asia,17302.735264431936,Hachinohe Ko_Silo_2,silo_710,141.54554094823058,40.528504938210816
Hachinohe Ko,Japan,Asia,20539.78955899295,Hachinohe Ko_Silo_3,silo_711,141.54425370448965,40.52694602059797
Hachinohe Ko,Japan,Asia,38537.119622244274,Hachinohe Ko_Silo_4,silo_712,141.51590916513365,40.537430708618906
Hachinohe Ko,Japan,Asia,51654.009475646904,Hachinohe Ko_Silo_5,silo_713,141.50861630757177,40.546847526780915
Hachinohe Ko,Japan,Asia,251207.46770260122,Hachinohe Ko_Silo_6,silo_714,141.48535412451955,40.56840293523364
Kochi Ko,Japan,Asia,45133.718766869315,Kochi Ko_Silo_1,silo_715,133.55272549009746,33.536075395381175
Kochi Ko,Japan,Asia,13585.919426486995,Kochi Ko_Silo_2,silo_716,133.56070337103688,33.53523441090964
Kochi Ko,Japan,Asia,95907.52853029221,Kochi Ko_Silo_3,silo_717,133.5661734302456,33.52884051165526
Susaki Ko,Japan,Asia,132592.86034699559,Susaki Ko_Silo_1,silo_718,133.29743348357212,33.39959322152102
Susaki Ko,Japan,Asia,28260.015297748592,Susaki Ko_Silo_2,silo_719,133.29966999980365,33.399641523159595
Susaki Ko,Japan,Asia,368868.0417568549,Susaki Ko_Silo_3,silo_720,133.30183023212865,33.4028431052802
Uwajima Ko,Japan,Asia,10104.171092546132,Uwajima Ko_Silo_1,silo_721,132.5525887197791,33.21943814758601
Uwajima Ko,Japan,Asia,6289.560762851773,Uwajima Ko_Silo_2,silo_722,132.55206316015358,33.220746515447914
